source_id,model,category,token_count,score,output_chars,duration_s
02a36eeaf4de3fed,gemma4:latest,BookSum,41697,0.0,3427,102.7616
02e63a2f2fc247d0,gemma4:latest,Siphon,61720,0.2,3338,67.4755
02fad2c24aa64146,gemma4:latest,Siphon,57614,0.0,3598,61.615
05e962961e864ff4,gemma4:latest,BookSum,2464,0.4,1642,55.9956
07096bbe6a1a7e2b,gemma4:latest,GovReport,14090,0.6,4149,93.628
08837ee9084057e5,gemma4:latest,BookSum,7788,0.6,2589,70.7375
090c12c71a57eea9,gemma4:latest,Siphon,896,0.8,2050,43.2979
0a040ce02baea0c0,gemma4:latest,Siphon,797,0.8,2048,43.2006
0b6450551fc145bd,gemma4:latest,Siphon,57258,0.0,2027,57.8817
0bd12d25e7d6913f,gemma4:latest,GovReport,10463,0.8,4101,79.8377
0bd1ae5ac36914da,gemma4:latest,Siphon,67454,0.2,3544,82.3325
109dcc0cca5141f1,gemma4:latest,Siphon,37266,0.2,2301,101.4543
128df24fe407b3f6,gemma4:latest,Siphon,589,1.0,1791,0.6461
1331bc288059434f,gemma4:latest,PubMed,3987,0.8,2817,57.6288
1387e59928e190df,gemma4:latest,Siphon,34576,0.2,4371,99.005
140a70ee3e93ba11,gemma4:latest,BookSum,6612,0.2,2715,65.2571
1b30c02dad523501,gemma4:latest,Siphon,69552,0.0,811,80.227
1bde1d2b9bf55ef6,gemma4:latest,BillSum,1582,0.8,2443,48.0995
1be319f52bc7794b,gemma4:latest,Siphon,84011,0.0,1918,81.5457
1e549964b0d1ffb3,gemma4:latest,Siphon,650,0.8,2370,0.6877
1f1a08b291f9ff92,gemma4:latest,BookSum,4484,0.4,1561,55.2773
20b0bbf1c1e7b842,gemma4:latest,BookSum,835,0.4,1199,35.6226
224726bec5c26d23,gemma4:latest,Siphon,129487,0.0,991,0.501
2301c8025d4cfc55,gemma4:latest,BookSum,7811,0.6,2245,70.5314
26562bc95f29d0e7,gemma4:latest,Siphon,174536,0.2,1379,0.4023
269c15d175b31c53,gemma4:latest,ArXiv,6689,0.8,3525,68.4784
29fbe5b2a9cdcbd1,gemma4:latest,BookSum,1652,0.4,1858,44.7016
2aed9f5ceb0d4ef5,gemma4:latest,Siphon,93927,0.0,2146,80.0584
2b7f09404acf6db7,gemma4:latest,GovReport,26243,0.8,4287,101.3675
2c17d50233c19bfe,gemma4:latest,Siphon,49489,0.2,2000,70.8039
2efb01a28bf80931,gemma4:latest,BookSum,8482,0.4,1688,62.4008
2fdb74a46e6c6164,gemma4:latest,Siphon,38983,0.2,2834,90.178
3052d859aa2275aa,gemma4:latest,GovReport,14575,0.8,3977,89.7842
30f2b3fe9afa1dd8,gemma4:latest,Siphon,119122,0.0,2057,0.2972
31c6b3277cd42ea1,gemma4:latest,Siphon,789,0.8,1822,57.7697
3345ef955c76a87d,gemma4:latest,BookSum,37118,0.0,1068,108.1211
348720498ac46980,gemma4:latest,Siphon,94646,0.2,2049,82.5127
373a4663b87fc0f2,gemma4:latest,ArXiv,14191,0.6,3019,99.5135
37a3042103b40d4d,gemma4:latest,Siphon,92058,0.0,1773,78.054
37ede2181d67b068,gemma4:latest,Siphon,748,1.0,2240,54.4135
3cb7d5d442bca0be,gemma4:latest,ArXiv,10264,0.8,3179,82.316
3e7889d6260c53ba,gemma4:latest,Siphon,26861,0.6,4421,111.7191
3f9f00be54ca44ff,gemma4:latest,Siphon,1539,0.8,2516,40.686
3fee926e3411eb82,gemma4:latest,BookSum,5463,0.6,2168,53.8123
4140c397caa5bb5c,gemma4:latest,Siphon,1094,0.6,2754,44.0599
414c6467b7793a14,gemma4:latest,BookSum,3062,0.6,1605,59.532
423c4ea171279761,gemma4:latest,GovReport,10255,0.8,4134,72.6975
445be14601e8bbb4,gemma4:latest,GovReport,16710,0.6,4739,83.2091
46717a20176e4cbf,gemma4:latest,BillSum,1763,0.8,2336,47.0679
467a66e3a5d1e345,gemma4:latest,BookSum,3781,0.4,2145,57.0127
476cb804440b06c2,gemma4:latest,Siphon,44972,0.0,878,58.8727
49347fa7f3dd4982,gemma4:latest,PubMed,16726,0.8,3768,83.4554
4c6632acb49850d6,gemma4:latest,GovReport,20455,0.8,4215,106.5739
4c8e024fce3fc5d9,gemma4:latest,WikiHow,678,0.8,1741,40.4738
4d0a20e2088f2902,gemma4:latest,BookSum,5517,0.6,2486,63.78
4eb2e0c8ddd332bf,gemma4:latest,GovReport,19830,0.6,3845,101.4568
4f982dfe7069d046,gemma4:latest,BookSum,2659,0.4,1586,55.6048
500c8c0456b3da81,gemma4:latest,BookSum,2233,0.6,2324,49.8192
502437db373383b9,gemma4:latest,Siphon,87610,0.0,2572,77.3608
53e1febec460a636,gemma4:latest,BillSum,1762,0.8,2605,49.4558
575c269c2a40911e,gemma4:latest,Siphon,90836,0.0,1275,74.1572
57a805370ea0737e,gemma4:latest,Siphon,598,0.6,1926,23.5594
57f538fc8d639dba,gemma4:latest,BillSum,3292,0.6,2783,54.2132
5849457e28d2dd47,gemma4:latest,Siphon,84166,0.0,1523,72.0964
58f88770f6aded5c,gemma4:latest,ArXiv,12078,0.6,3626,80.3731
5a4ad8682359eb86,gemma4:latest,ArXiv,28080,0.4,3613,94.1964
5a7fae1db3eaf41d,gemma4:latest,BookSum,40582,0.0,2789,81.6861
5b9a72563d14a2e3,gemma4:latest,GovReport,7237,0.8,3609,57.8823
5dafb48fe93f0a2e,gemma4:latest,Siphon,103375,0.2,2153,0.1191
6109b5c8544db89e,gemma4:latest,Siphon,32597,0.2,2418,105.282
61740f98a6d09f53,gemma4:latest,BookSum,2472,0.6,1783,53.6312
6530c89657cfb4df,gemma4:latest,Siphon,76775,0.0,2831,79.79
658b4bf748124550,gemma4:latest,GovReport,12846,0.4,3585,73.8114
6ad3dd0c3f431874,gemma4:latest,Siphon,62888,0.2,3209,69.5855
6c0b1e7f7de25467,gemma4:latest,Siphon,762,0.6,1435,41.9185
6e7bce3c71a5a346,gemma4:latest,ArXiv,24226,0.6,4039,102.5812
6e9d503c40339dfd,gemma4:latest,BillSum,1129,0.8,1786,45.3807
6f380c4197aa3761,gemma4:latest,BookSum,2691,0.4,2059,55.006
6f49de98e931e84b,gemma4:latest,Siphon,59724,0.0,824,67.5089
6f6cc4585849811f,gemma4:latest,Siphon,73505,0.0,1053,75.706
732a9f485d90599c,gemma4:latest,BookSum,2933,0.6,1710,55.9985
757ca0cd7d1e3dd3,gemma4:latest,BookSum,1880,0.4,2151,45.3707
75bebcdea7ad2b84,gemma4:latest,ArXiv,7906,0.6,3339,65.352
76bd73e58e51bdcc,gemma4:latest,GovReport,9346,0.8,4562,70.1929
76c692a42b95b7b1,gemma4:latest,BookSum,3647,0.4,2463,56.8858
7732fbb500ec06a3,gemma4:latest,BillSum,3628,0.6,3328,60.1031
77a98f2d0b4c33d2,gemma4:latest,BookSum,5332,0.4,2332,53.0238
77e0b26d6be488ca,gemma4:latest,Siphon,24443,0.8,5224,109.4311
781b5bb2afb78c18,gemma4:latest,GovReport,7117,0.8,3115,70.3179
7888c4134cc98bc6,gemma4:latest,Siphon,39089,0.0,4312,106.9465
7a1e007350f59527,gemma4:latest,GovReport,21443,0.6,5412,106.7585
7baed1f1f71e323a,gemma4:latest,Siphon,70057,0.0,1966,72.1192
7c180ccb51507a6b,gemma4:latest,BillSum,3322,0.8,3298,51.9822
7c2057e4cb777482,gemma4:latest,WikiHow,593,0.8,2269,47.2056
7ca2a2ba98e8ba8b,gemma4:latest,GovReport,2495,0.8,3312,53.8023
7d5ecffbf9fc8378,gemma4:latest,ArXiv,39665,0.2,873,79.3265
7d690486a9516776,gemma4:latest,BookSum,2056,0.6,2160,48.4167
816693302331e005,gemma4:latest,BookSum,60629,0.0,3120,77.6746
82eae29747e859c5,gemma4:latest,BookSum,3448,0.4,2867,59.5813
8477a4927f2e98ba,gemma4:latest,ArXiv,6438,0.8,2740,68.0786
896a1863dd0562b6,gemma4:latest,BookSum,2098,0.4,1657,49.4766
8a994897a17d8633,gemma4:latest,BookSum,940,0.4,1500,41.7263
8ebc4c9e210a22f8,gemma4:latest,ArXiv,7576,0.4,4017,56.2609
8ec0931590a4871d,gemma4:latest,BookSum,5138,0.6,2107,62.8835
8f8766c2304b7f80,gemma4:latest,Siphon,698,0.8,2236,44.7304
903381274ce57bd1,gemma4:latest,Siphon,29985,0.4,4637,103.329
90a1b78cc415388d,gemma4:latest,BillSum,3265,0.6,2784,57.5139
913fc11397eea3bc,gemma4:latest,PubMed,665,0.6,1787,0.6808
91f9bca1699c6c26,gemma4:latest,BookSum,4361,0.2,2032,56.9368
927fdd5d68a13c76,gemma4:latest,ArXiv,5158,0.8,2833,56.6064
92e98ba798830108,gemma4:latest,Siphon,33377,0.0,4029,110.5576
93b1efb9b0190a90,gemma4:latest,BillSum,1521,1.0,2375,42.5787
947e4610d64a8916,gemma4:latest,PubMed,1194,0.8,1674,43.6072
986285ce2700d8a6,gemma4:latest,GovReport,17503,0.6,4033,87.6838
9abd149f6b150fc0,gemma4:latest,Siphon,782,0.8,1959,41.1876
9c3549642901c7e1,gemma4:latest,BillSum,2324,0.8,1906,59.8131
9d01de1c463b0fbb,gemma4:latest,Siphon,2132,0.8,4281,53.1345
9f36246edafc9871,gemma4:latest,Siphon,138902,0.0,2250,0.2457
a2a1bf0800e76a45,gemma4:latest,Siphon,49594,0.0,1103,65.5027
a3d9bc4c3eeee68c,gemma4:latest,GovReport,14996,0.8,4833,94.5095
a5bea2c6a345eb2b,gemma4:latest,BookSum,2021,1.0,2716,55.2225
a7550552c0395edf,gemma4:latest,Siphon,25372,0.6,5121,97.0838
a77d7de7a45d464b,gemma4:latest,PubMed,5323,0.6,2975,59.2211
a91421549f5624aa,gemma4:latest,BillSum,1877,0.8,2516,45.8679
a96d9a6d1362e443,gemma4:latest,BookSum,1572,0.4,2058,42.4819
aa56b83051de4c93,gemma4:latest,Siphon,739,0.8,1519,51.2543
ad1d0c2c3f760339,gemma4:latest,BookSum,26010,0.4,2299,97.667
ad9e46ff443202ed,gemma4:latest,Siphon,39521,0.2,3841,99.7412
