source_id,oneshot_model,map_model,category,token_count,score,output_chars,duration_s
913fc11397eea3bc,gemma4:latest,gpt-oss:latest,PubMed,665,0.6,1787,1.0947
d23c2d186a448d72,gemma4:latest,gpt-oss:latest,Siphon,670,0.8,2298,0.8701
1e549964b0d1ffb3,gemma4:latest,gpt-oss:latest,Siphon,650,0.8,2370,0.5574
f5eb6367c29e5566,gemma4:latest,gpt-oss:latest,BookSum,649,0.4,1255,0.7235
128df24fe407b3f6,gemma4:latest,gpt-oss:latest,Siphon,589,1.0,1791,0.7052
f620043b541185e7,gemma4:latest,gpt-oss:latest,Siphon,503,0.8,3046,0.5034
57a805370ea0737e,gemma4:latest,gpt-oss:latest,Siphon,598,0.6,1926,0.6239
f29cfabfdec0ce2e,gemma4:latest,gpt-oss:latest,Siphon,667,0.6,2522,0.4474
cd376d7b05c16119,gemma4:latest,gpt-oss:latest,Siphon,581,0.8,1672,0.6342
7c2057e4cb777482,gemma4:latest,gpt-oss:latest,WikiHow,593,0.8,2269,0.6186
9abd149f6b150fc0,gemma4:latest,gpt-oss:latest,Siphon,782,0.8,1959,0.3584
20b0bbf1c1e7b842,gemma4:latest,gpt-oss:latest,BookSum,835,0.4,1199,0.3353
aa56b83051de4c93,gemma4:latest,gpt-oss:latest,Siphon,739,0.8,1519,0.3177
37ede2181d67b068,gemma4:latest,gpt-oss:latest,Siphon,748,1.0,2240,0.611
31c6b3277cd42ea1,gemma4:latest,gpt-oss:latest,Siphon,789,0.8,1822,0.4153
8f8766c2304b7f80,gemma4:latest,gpt-oss:latest,Siphon,698,0.8,2236,0.5775
6c0b1e7f7de25467,gemma4:latest,gpt-oss:latest,Siphon,762,0.6,1435,0.6399
0a040ce02baea0c0,gemma4:latest,gpt-oss:latest,Siphon,797,0.8,2048,0.5566
4c8e024fce3fc5d9,gemma4:latest,gpt-oss:latest,WikiHow,678,0.8,1741,0.523
090c12c71a57eea9,gemma4:latest,gpt-oss:latest,Siphon,896,0.8,2050,0.5859
947e4610d64a8916,gemma4:latest,gpt-oss:latest,PubMed,1194,0.8,1674,0.5586
4140c397caa5bb5c,gemma4:latest,gpt-oss:latest,Siphon,1094,0.6,2754,0.5353
f83d5bff2570c20c,gemma4:latest,gpt-oss:latest,BookSum,1205,0.6,1929,0.5144
b2393b52ce6c4f8c,gemma4:latest,gpt-oss:latest,BookSum,1088,0.2,1982,0.4019
fc9b9631d8a881a0,gemma4:latest,gpt-oss:latest,BookSum,944,0.8,1418,0.4861
ebc73fb557352fdf,gemma4:latest,gpt-oss:latest,PubMed,1098,0.8,1780,0.5025
6e9d503c40339dfd,gemma4:latest,gpt-oss:latest,BillSum,1129,0.8,1786,0.4884
d4bf61f86b7f43f9,gemma4:latest,gpt-oss:latest,Siphon,1126,1.0,1990,0.4672
e6229fb9d86212a3,gemma4:latest,gpt-oss:latest,BillSum,1114,0.8,2184,0.5885
8a994897a17d8633,gemma4:latest,gpt-oss:latest,BookSum,940,0.4,1500,0.5284
93b1efb9b0190a90,gemma4:latest,gpt-oss:latest,BillSum,1521,1.0,2375,0.5223
a96d9a6d1362e443,gemma4:latest,gpt-oss:latest,BookSum,1572,0.6,2058,0.4979
3f9f00be54ca44ff,gemma4:latest,gpt-oss:latest,Siphon,1539,0.8,2516,0.479
29fbe5b2a9cdcbd1,gemma4:latest,gpt-oss:latest,BookSum,1652,0.4,1858,0.4038
d6cb3396f5d47c1a,gemma4:latest,gpt-oss:latest,Siphon,1547,0.8,2970,0.5599
c708a2c263b5ce96,gemma4:latest,gpt-oss:latest,BookSum,1559,0.6,1434,0.5081
f01bd980db82a7ea,gemma4:latest,gpt-oss:latest,BillSum,1233,0.6,1964,0.4636
1bde1d2b9bf55ef6,gemma4:latest,gpt-oss:latest,BillSum,1582,0.8,2443,0.332
c56aa1a34ae3b03b,gemma4:latest,gpt-oss:latest,Siphon,1371,0.8,2922,0.5508
fb5832b1c605abbe,gemma4:latest,gpt-oss:latest,WikiHow,1265,1.0,2982,0.554
7d690486a9516776,gemma4:latest,gpt-oss:latest,BookSum,2056,0.6,2160,0.7065
46717a20176e4cbf,gemma4:latest,gpt-oss:latest,BillSum,1763,0.8,2336,0.6763
53e1febec460a636,gemma4:latest,gpt-oss:latest,BillSum,1762,0.8,2605,0.56
757ca0cd7d1e3dd3,gemma4:latest,gpt-oss:latest,BookSum,1880,0.4,2151,0.5489
