source_id,token_count,score
02e63a2f2fc247d0,61720,0.2
02a36eeaf4de3fed,41697,0.0
07096bbe6a1a7e2b,14090,0.6
0b6450551fc145bd,57258,0.2
08837ee9084057e5,7788,0.6
0bd12d25e7d6913f,10463,0.4
05e962961e864ff4,2464,0.6
02fad2c24aa64146,57614,0.2
0bd1ae5ac36914da,67454,0.2
109dcc0cca5141f1,37266,0.4
1b30c02dad523501,69552,0.0
090c12c71a57eea9,896,0.8
1331bc288059434f,3987,0.6
140a70ee3e93ba11,6612,0.2
0a040ce02baea0c0,797,0.8
1387e59928e190df,34576,0.2
1bde1d2b9bf55ef6,1582,0.8
128df24fe407b3f6,589,0.8
1be319f52bc7794b,84011,0.2
1e549964b0d1ffb3,650,0.8
1f1a08b291f9ff92,4484,0.2
2301c8025d4cfc55,7811,0.4
2b7f09404acf6db7,26243,0.4
29fbe5b2a9cdcbd1,1652,0.4
2aed9f5ceb0d4ef5,93927,0.2
2c17d50233c19bfe,49489,0.4
20b0bbf1c1e7b842,835,0.6
348720498ac46980,94646,0.2
269c15d175b31c53,6689,0.6
31c6b3277cd42ea1,789,0.8
2efb01a28bf80931,8482,0.4
3345ef955c76a87d,37118,0.0
2fdb74a46e6c6164,38983,0.4
373a4663b87fc0f2,14191,0.6
37ede2181d67b068,748,1.0
37a3042103b40d4d,92058,0.2
3cb7d5d442bca0be,10264,0.6
4140c397caa5bb5c,1094,0.8
3f9f00be54ca44ff,1539,0.8
46717a20176e4cbf,1763,0.6
423c4ea171279761,10255,0.6
3e7889d6260c53ba,26861,0.6
445be14601e8bbb4,16710,0.4
3fee926e3411eb82,5463,0.4
476cb804440b06c2,44972,0.0
467a66e3a5d1e345,3781,0.6
414c6467b7793a14,3062,0.6
4c8e024fce3fc5d9,678,0.6
49347fa7f3dd4982,16726,0.6
4c6632acb49850d6,20455,0.6
502437db373383b9,87610,0.2
4eb2e0c8ddd332bf,19830,0.6
4f982dfe7069d046,2659,0.4
575c269c2a40911e,90836,0.2
53e1febec460a636,1762,0.8
4d0a20e2088f2902,5517,0.6
500c8c0456b3da81,2233,0.6
5849457e28d2dd47,84166,0.2
5a7fae1db3eaf41d,40582,0.2
5a4ad8682359eb86,28080,0.6
6109b5c8544db89e,32597,0.2
6530c89657cfb4df,76775,0.2
5b9a72563d14a2e3,7237,0.6
6ad3dd0c3f431874,62888,0.0
57a805370ea0737e,598,0.4
58f88770f6aded5c,12078,0.4
61740f98a6d09f53,2472,0.6
57f538fc8d639dba,3292,0.4
6e7bce3c71a5a346,24226,0.4
658b4bf748124550,12846,0.4
6f6cc4585849811f,73505,0.2
3052d859aa2275aa,14575,0.6
6c0b1e7f7de25467,762,0.6
6e9d503c40339dfd,1129,0.8
6f49de98e931e84b,59724,0.2
6f380c4197aa3761,2691,0.6
757ca0cd7d1e3dd3,1880,0.8
732a9f485d90599c,2933,0.4
75bebcdea7ad2b84,7906,0.8
76c692a42b95b7b1,3647,0.2
7732fbb500ec06a3,3628,0.6
76bd73e58e51bdcc,9346,0.6
77e0b26d6be488ca,24443,0.6
7baed1f1f71e323a,70057,0.2
7a1e007350f59527,21443,0.6
7c2057e4cb777482,593,0.8
77a98f2d0b4c33d2,5332,0.6
781b5bb2afb78c18,7117,0.6
7888c4134cc98bc6,39089,0.2
7ca2a2ba98e8ba8b,2495,0.8
7c180ccb51507a6b,3322,0.6
7d5ecffbf9fc8378,39665,0.4
7d690486a9516776,2056,0.6
816693302331e005,60629,0.2
8477a4927f2e98ba,6438,0.6
8f8766c2304b7f80,698,1.0
896a1863dd0562b6,2098,0.6
