model,host_alias,source_id,token_count,score,output_chars,duration_s,use_cache
gpt-oss:latest,bywater,6ad3dd0c3f431874,62888,0.0,6164,97.4957,False
gpt-oss:latest,bywater,0bd1ae5ac36914da,67454,0.2,353,27.464,False
gpt-oss:latest,bywater,5dafb48fe93f0a2e,103375,0.2,10245,51.6163,False
gemma4:latest,deepwater,c54798a03a2a8160,1981,0.8,2636,0.1682,True
gemma4:latest,deepwater,757ca0cd7d1e3dd3,1880,0.4,2151,0.2029,True
gemma4:latest,deepwater,1f1a08b291f9ff92,4484,0.4,1561,0.151,True
gemma4:latest,deepwater,2efb01a28bf80931,8482,0.4,1688,0.1428,True
gemma4:latest,deepwater,f692fb9c8035587d,11752,0.2,2128,0.2565,True
gpt-oss:latest,deepwater,7732fbb500ec06a3,3628,0.8,3379,11.6477,False
gpt-oss:latest,deepwater,b466b772db978b61,18747,0.6,3296,23.1051,False
gpt-oss:latest,deepwater,903381274ce57bd1,29985,0.8,3801,22.6144,False
gpt-oss:latest,deepwater,f6af448f2b101fbd,58992,0.4,6520,28.7226,False
gpt-oss:latest,deepwater,0b6450551fc145bd,57258,0.0,6095,37.7857,False
gpt-oss:latest,bywater,bb615c74b0b0f8ea,5254,0.0,347,57.007,False
gpt-oss:latest,bywater,8ebc4c9e210a22f8,7576,0.0,375,51.8467,False
gpt-oss:latest,bywater,f9ca7b14f88913dc,9655,0.0,220,31.8763,False
gpt-oss:latest,bywater,d23c2d186a448d72,670,0.8,1942,13.7434,False
gemma4:latest,deepwater,ad1d0c2c3f760339,26010,0.4,2299,0.2038,True
gpt-oss:latest,bywater,7c2057e4cb777482,593,0.8,1259,0.2471,True
gemma4:latest,deepwater,37a3042103b40d4d,92058,0.0,1773,0.2368,True
gemma4:latest,deepwater,5849457e28d2dd47,84166,0.0,1523,0.2461,True
gemma4:latest,deepwater,9f36246edafc9871,138902,0.2,2326,34.6757,True
gpt-oss:latest,deepwater,cd376d7b05c16119,581,1.0,1181,0.1863,True
gpt-oss:latest,deepwater,6e9d503c40339dfd,1129,0.9,1140,0.1533,True
gpt-oss:latest,deepwater,29fbe5b2a9cdcbd1,1652,0.4,1935,0.1507,True
gpt-oss:latest,bywater,fc9b9631d8a881a0,944,0.6,913,0.1564,True
gpt-oss:latest,deepwater,a96d9a6d1362e443,1572,0.6,1313,0.1465,True
gpt-oss:latest,deepwater,8a994897a17d8633,940,0.4,1414,0.1566,True
gpt-oss:latest,bywater,d6cb3396f5d47c1a,1547,1.0,2431,0.1615,True
gpt-oss:latest,deepwater,c56aa1a34ae3b03b,1371,1.0,2954,0.1436,True
gpt-oss:latest,deepwater,76c692a42b95b7b1,3647,0.2,1161,0.1481,True
gpt-oss:latest,deepwater,757ca0cd7d1e3dd3,1880,0.6,1974,0.1592,True
gpt-oss:latest,bywater,7d690486a9516776,2056,0.8,2415,0.1393,True
gpt-oss:latest,bywater,b05bd40ee63cec42,4371,0.8,6361,0.4616,True
gpt-oss:latest,deepwater,9d01de1c463b0fbb,2132,1.0,4408,0.1199,True
gpt-oss:latest,deepwater,ccc99455d2136ced,8917,0.0,12492,0.1542,True
gpt-oss:latest,deepwater,6f380c4197aa3761,2691,0.4,1158,0.1509,True
gpt-oss:latest,deepwater,a5bea2c6a345eb2b,2021,0.6,846,0.1228,True
gpt-oss:latest,deepwater,5b9a72563d14a2e3,7237,0.0,115,0.1817,True
gpt-oss:latest,bywater,ed08ed79e283306c,3115,1.0,2000,0.2062,True
gpt-oss:latest,deepwater,7732fbb500ec06a3,3628,0.6,3572,0.1471,True
gpt-oss:latest,deepwater,e930ca525bacc27f,6902,0.0,6786,0.2872,True
gpt-oss:latest,bywater,fc951608c7a4ae12,2911,0.2,1610,0.1813,True
gpt-oss:latest,deepwater,d30a50ac7d29dab1,2929,1.0,3408,0.1558,True
gpt-oss:latest,bywater,732a9f485d90599c,2933,0.2,1905,0.1875,True
gpt-oss:latest,deepwater,7ca2a2ba98e8ba8b,2495,1.0,3781,0.1466,True
gpt-oss:latest,deepwater,90a1b78cc415388d,3265,0.8,3804,0.1572,True
gpt-oss:latest,bywater,bb615c74b0b0f8ea,5254,0.2,23365,0.3216,True
gpt-oss:latest,bywater,f5eb6367c29e5566,649,0.4,1083,5.6055,False
gemma4:latest,deepwater,cd376d7b05c16119,581,0.8,1672,0.1396,True
gemma4:latest,deepwater,9abd149f6b150fc0,782,0.8,1959,0.1741,True
gpt-oss:latest,deepwater,8ec0931590a4871d,5138,0.0,1346,0.202,True
gpt-oss:latest,bywater,8477a4927f2e98ba,6438,0.0,167,0.4358,True
gpt-oss:latest,bywater,927fdd5d68a13c76,5158,0.0,431,0.4324,True
gpt-oss:latest,bywater,b8b9dbaa58b0b2a2,4534,0.2,1956,0.2382,True
gpt-oss:latest,deepwater,423c4ea171279761,10255,0.2,11221,0.2448,True
gpt-oss:latest,deepwater,f692fb9c8035587d,11752,0.0,234,0.1916,True
gpt-oss:latest,deepwater,d87419496c631609,8507,0.4,6165,0.182,True
gpt-oss:latest,bywater,445be14601e8bbb4,16710,0.0,17020,0.7299,True
gpt-oss:latest,deepwater,2b7f09404acf6db7,26243,0.2,6544,0.1679,True
gpt-oss:latest,bywater,b30452d4d37551ea,12597,0.2,5640,0.4681,True
gpt-oss:latest,deepwater,903381274ce57bd1,29985,0.4,8789,0.2293,True
gpt-oss:latest,deepwater,7a1e007350f59527,21443,0.0,237,0.1845,True
gpt-oss:latest,deepwater,d3a6d35adba1a4f7,6032,0.2,86,0.2271,True
gpt-oss:latest,deepwater,07096bbe6a1a7e2b,14090,0.2,848,0.2224,True
gpt-oss:latest,deepwater,2301c8025d4cfc55,7811,0.2,8403,0.154,True
gpt-oss:latest,deepwater,2efb01a28bf80931,8482,0.4,798,0.1271,True
gpt-oss:latest,bywater,e7744ce952e46afc,5719,0.0,52,0.2629,True
gpt-oss:latest,deepwater,ef8cb732719a31a9,18627,0.0,130,0.2268,True
gpt-oss:latest,bywater,91f9bca1699c6c26,4361,0.4,948,0.2886,True
gpt-oss:latest,bywater,b86d814dda4f6836,5952,0.0,59,0.3127,True
gpt-oss:latest,deepwater,0bd12d25e7d6913f,10463,0.2,17006,0.2484,True
gpt-oss:latest,deepwater,cfa11d9c3a649e71,14582,0.0,1062,0.1396,True
gpt-oss:latest,deepwater,f17331f2a61055fb,11679,0.0,151,0.1458,True
gpt-oss:latest,bywater,75bebcdea7ad2b84,7906,0.6,10010,0.3781,True
gpt-oss:latest,deepwater,a7550552c0395edf,25372,0.0,4879,0.1857,True
gpt-oss:latest,deepwater,02a36eeaf4de3fed,41697,0.0,108,0.2787,True
gpt-oss:latest,deepwater,109dcc0cca5141f1,37266,0.2,5658,0.3216,True
gpt-oss:latest,bywater,f9ca7b14f88913dc,9655,0.0,7673,0.4697,True
gpt-oss:latest,deepwater,cb13abc0e602e1d3,21072,0.0,4226,0.1715,True
gpt-oss:latest,deepwater,ad9e46ff443202ed,39521,0.2,4067,0.4242,True
gpt-oss:latest,deepwater,ad1d0c2c3f760339,26010,0.0,13999,0.1562,True
gpt-oss:latest,deepwater,b466b772db978b61,18747,0.0,7955,0.1995,True
gpt-oss:latest,deepwater,e80f301231c03eb5,30263,0.2,5552,0.1635,True
gpt-oss:latest,bywater,a3d9bc4c3eeee68c,14996,0.0,7952,0.472,True
gpt-oss:latest,deepwater,3345ef955c76a87d,37118,0.0,520,0.2631,True
gpt-oss:latest,bywater,adeafd1c9f56022c,12955,0.0,646,0.5549,True
gpt-oss:latest,deepwater,6f49de98e931e84b,59724,0.0,3286,0.3911,True
gpt-oss:latest,bywater,f4561f0f5f4d07aa,13581,0.4,5799,0.6075,True
gpt-oss:latest,bywater,3cb7d5d442bca0be,10264,0.4,10953,0.6801,True
gpt-oss:latest,deepwater,1387e59928e190df,34576,0.0,5633,0.4006,True
gpt-oss:latest,bywater,49347fa7f3dd4982,16726,0.0,2933,0.4908,True
gpt-oss:latest,bywater,986285ce2700d8a6,17503,0.0,4102,0.4872,True
gpt-oss:latest,deepwater,6f6cc4585849811f,73505,0.0,3059,0.2547,True
gpt-oss:latest,deepwater,a2a1bf0800e76a45,49594,0.0,38,0.303,True
gpt-oss:latest,deepwater,f6af448f2b101fbd,58992,0.2,479,0.4721,True
gpt-oss:latest,deepwater,6530c89657cfb4df,76775,0.0,7121,0.4446,True
gpt-oss:latest,deepwater,816693302331e005,60629,0.0,5834,0.4072,True
gpt-oss:latest,bywater,5a4ad8682359eb86,28080,0.0,3204,0.5942,True
gpt-oss:latest,bywater,77e0b26d6be488ca,24443,0.2,7749,0.495,True
gpt-oss:latest,deepwater,37a3042103b40d4d,92058,0.0,3855,0.243,True
