strategy,model,config_id,source_id,category,token_count,score,output_chars,duration_s
RecursiveSummarizer,gpt-oss:latest,219684bc,37a3042103b40d4d,Siphon,92058,0.0,3855,2.3958
RecursiveSummarizer,gpt-oss:latest,219684bc,b785ceb18735e949,Siphon,98760,0.0,625,2.2998
RecursiveSummarizer,gpt-oss:latest,219684bc,224726bec5c26d23,Siphon,129487,0.2,1016,2.6443
RecursiveSummarizer,qwen3.6:latest,50ee1447,fa6fa9360b97a854,Siphon,129213,0.2,442,25.3076
RecursiveSummarizer,qwen3.6:latest,50ee1447,30f2b3fe9afa1dd8,Siphon,119122,0.0,293,17.8675
RollingRefineSummarizer,gpt-oss:latest,219684bc,575c269c2a40911e,Siphon,90836,0.0,646,384.9632
RollingRefineSummarizer,qwen3.6:latest,08da6118,aebfaeb53a59f2d0,BookSum,15063,0.8,4536,2.4968
RollingRefineSummarizer,qwen3.6:latest,08da6118,cfa11d9c3a649e71,GovReport,14582,0.8,4227,2.3054
RollingRefineSummarizer,qwen3.6:latest,08da6118,373a4663b87fc0f2,ArXiv,14191,0.6,3308,2.161
RollingRefineSummarizer,qwen3.6:latest,08da6118,fd864b64a6209418,Siphon,19339,0.9,7674,2.2101
RollingRefineSummarizer,qwen3.6:latest,08da6118,6e7bce3c71a5a346,ArXiv,24226,0.8,4464,170.8491
RollingRefineSummarizer,gpt-oss:latest,219684bc,aebfaeb53a59f2d0,BookSum,15063,0.4,1614,2.5194
RollingRefineSummarizer,gpt-oss:latest,219684bc,6e7bce3c71a5a346,ArXiv,24226,0.2,1890,2.5376
RollingRefineSummarizer,gpt-oss:latest,219684bc,ef8cb732719a31a9,BookSum,18627,0.2,967,2.0686
RecursiveSummarizer,gpt-oss:latest,219684bc,913fc11397eea3bc,PubMed,665,0.8,1390,0.8566
RecursiveSummarizer,gpt-oss:latest,219684bc,d23c2d186a448d72,Siphon,670,0.8,1678,0.8392
RecursiveSummarizer,gpt-oss:latest,219684bc,1e549964b0d1ffb3,Siphon,650,0.9,2067,0.8245
RecursiveSummarizer,gpt-oss:latest,219684bc,f5eb6367c29e5566,BookSum,649,0.4,951,0.8089
RecursiveSummarizer,gpt-oss:latest,219684bc,128df24fe407b3f6,Siphon,589,0.8,1732,0.7892
RecursiveSummarizer,gpt-oss:latest,219684bc,f620043b541185e7,Siphon,503,1.0,1662,0.7733
RecursiveSummarizer,gpt-oss:latest,219684bc,57a805370ea0737e,Siphon,598,1.0,1869,0.7591
RecursiveSummarizer,gpt-oss:latest,219684bc,f29cfabfdec0ce2e,Siphon,667,0.8,1789,0.7428
RecursiveSummarizer,gpt-oss:latest,219684bc,cd376d7b05c16119,Siphon,581,1.0,1181,0.7226
RecursiveSummarizer,gpt-oss:latest,219684bc,7c2057e4cb777482,WikiHow,593,0.8,1259,0.7083
RecursiveSummarizer,gpt-oss:latest,219684bc,9abd149f6b150fc0,Siphon,782,1.0,1728,0.7004
RecursiveSummarizer,gpt-oss:latest,219684bc,20b0bbf1c1e7b842,BookSum,835,0.4,874,0.6815
RecursiveSummarizer,gpt-oss:latest,219684bc,aa56b83051de4c93,Siphon,739,1.0,932,0.6645
RecursiveSummarizer,gpt-oss:latest,219684bc,37ede2181d67b068,Siphon,748,1.0,1066,0.6513
RecursiveSummarizer,gpt-oss:latest,219684bc,31c6b3277cd42ea1,Siphon,789,1.0,1094,0.6125
RecursiveSummarizer,gpt-oss:latest,219684bc,8f8766c2304b7f80,Siphon,698,1.0,1537,0.5915
RecursiveSummarizer,gpt-oss:latest,219684bc,6c0b1e7f7de25467,Siphon,762,0.8,946,0.5758
RecursiveSummarizer,gpt-oss:latest,219684bc,0a040ce02baea0c0,Siphon,797,0.8,1296,0.5597
RecursiveSummarizer,gpt-oss:latest,219684bc,4c8e024fce3fc5d9,WikiHow,678,0.8,1511,0.5436
RecursiveSummarizer,gpt-oss:latest,219684bc,090c12c71a57eea9,Siphon,896,1.0,2060,0.5272
RecursiveSummarizer,gpt-oss:latest,219684bc,947e4610d64a8916,PubMed,1194,0.8,1206,0.6622
RecursiveSummarizer,gpt-oss:latest,219684bc,4140c397caa5bb5c,Siphon,1094,0.8,1174,0.6401
RecursiveSummarizer,gpt-oss:latest,219684bc,f83d5bff2570c20c,BookSum,1205,0.4,1006,0.6231
RecursiveSummarizer,gpt-oss:latest,219684bc,b2393b52ce6c4f8c,BookSum,1088,0.2,1424,0.5479
RecursiveSummarizer,gpt-oss:latest,219684bc,fc9b9631d8a881a0,BookSum,944,0.6,913,0.4866
RecursiveSummarizer,gpt-oss:latest,219684bc,ebc73fb557352fdf,PubMed,1098,1.0,1440,0.5125
RecursiveSummarizer,gpt-oss:latest,219684bc,6e9d503c40339dfd,BillSum,1129,0.8,1140,0.4995
RecursiveSummarizer,gpt-oss:latest,219684bc,d4bf61f86b7f43f9,Siphon,1126,1.0,1277,0.4838
RecursiveSummarizer,gpt-oss:latest,219684bc,e6229fb9d86212a3,BillSum,1114,1.0,2203,0.4652
RecursiveSummarizer,gpt-oss:latest,219684bc,8a994897a17d8633,BookSum,940,0.4,1414,0.45
